用户名称,用户编号,时段(-1=全部),段号,负荷MW,报价(元/MWh)
临江钢铁,U1,0,1,150.0,800.00
临江钢铁,U1,0,2,50.0,600.00
临江钢铁,U1,1,1,150.0,800.00
临江钢铁,U1,1,2,50.0,600.00
临江钢铁,U1,2,1,150.0,800.00
临江钢铁,U1,2,2,50.0,600.00
临江钢铁,U1,3,1,150.0,800.00
临江钢铁,U1,3,2,50.0,600.00
临江钢铁,U1,4,1,150.0,800.00
临江钢铁,U1,4,2,50.0,600.00
临江钢铁,U1,5,1,150.0,800.00
临江钢铁,U1,5,2,50.0,600.00
临江钢铁,U1,6,1,150.0,800.00
临江钢铁,U1,6,2,50.0,600.00
临江钢铁,U1,7,1,150.0,800.00
临江钢铁,U1,7,2,50.0,600.00
临江钢铁,U1,8,1,150.0,800.00
临江钢铁,U1,8,2,50.0,600.00
临江钢铁,U1,9,1,150.0,800.00
临江钢铁,U1,9,2,50.0,600.00
临江钢铁,U1,10,1,150.0,800.00
临江钢铁,U1,10,2,50.0,600.00
临江钢铁,U1,11,1,150.0,800.00
临江钢铁,U1,11,2,50.0,600.00
临江钢铁,U1,12,1,150.0,800.00
临江钢铁,U1,12,2,50.0,600.00
临江钢铁,U1,13,1,150.0,800.00
临江钢铁,U1,13,2,50.0,600.00
临江钢铁,U1,14,1,150.0,800.00
临江钢铁,U1,14,2,50.0,600.00
临江钢铁,U1,15,1,150.0,800.00
临江钢铁,U1,15,2,50.0,600.00
临江钢铁,U1,16,1,150.0,800.00
临江钢铁,U1,16,2,50.0,600.00
临江钢铁,U1,17,1,150.0,800.00
临江钢铁,U1,17,2,50.0,600.00
临江钢铁,U1,18,1,150.0,800.00
临江钢铁,U1,18,2,50.0,600.00
临江钢铁,U1,19,1,150.0,800.00
临江钢铁,U1,19,2,50.0,600.00
临江钢铁,U1,20,1,150.0,800.00
临江钢铁,U1,20,2,50.0,600.00
临江钢铁,U1,21,1,150.0,800.00
临江钢铁,U1,21,2,50.0,600.00
