时段,时间,出清价(元/MWh),出清量MW,状态,清流电厂 #1水电 中标MW,望江电厂 #2火电 中标MW,云峰电厂 #3燃气 中标MW,临江钢铁 U1 中标MW,星洲商业 U2 中标MW
0,00:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
1,00:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
2,00:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
3,00:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
4,01:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
5,01:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
6,01:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
7,01:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
8,02:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
9,02:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
10,02:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
11,02:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
12,03:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
13,03:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
14,03:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
15,03:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
16,04:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
17,04:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
18,04:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
19,04:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
20,05:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
21,05:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
22,05:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
23,05:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
24,06:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
25,06:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
26,06:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
27,06:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
28,07:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
29,07:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
30,07:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
31,07:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
32,08:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
33,08:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
34,08:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
35,08:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
